"year","state","month","number","date"
1999,"Santa Catarina","Dezembro",89,1999-01-01
2005,"Rio","Setembro",37,2005-01-01
2010,"Paraiba","Outubro",230,2010-01-01
2001,"Amazonas","Janeiro",3,2001-01-01
1998,"Alagoas","Abril",0,1998-01-01
2001,"Pernambuco","Dezembro",62,2001-01-01
2015,"Roraima","Dezembro",304,2015-01-01
1999,"Sao Paulo","Outubro",763,1999-01-01
2005,"Paraiba","Fevereiro",15,2005-01-01
2017,"Maranhao","Setembro",14.825,2017-01-01
2002,"Rio","Agosto",824,2002-01-01
2004,"Paraiba","Abril",3,2004-01-01
2010,"Mato Grosso","Outubro",597,2010-01-01
2000,"Goias","Junho",222,2000-01-01
2001,"Minas Gerais","Junho",166,2001-01-01
1999,"Par�","Dezembro",766,1999-01-01
2001,"Rio","Julho",6,2001-01-01
2009,"Acre","Mar�o",1,2009-01-01
2017,"Ceara","Outubro",949,2017-01-01
2003,"Paraiba","Abril",130,2003-01-01
2002,"Ceara","Fevereiro",75,2002-01-01
2015,"Rio","Abril",24,2015-01-01
2003,"Maranhao","Mar�o",16,2003-01-01
2004,"Bahia","Junho",289,2004-01-01
2003,"Acre","Julho",168,2003-01-01
2014,"Rio","Dezembro",31,2014-01-01
2012,"Acre","Julho",71,2012-01-01
2015,"Maranhao","Setembro",6.423,2015-01-01
2011,"Par�","Junho",105,2011-01-01
2007,"Rio","Junho",3,2007-01-01
2002,"Rondonia","Julho",539,2002-01-01
2014,"Bahia","Julho",249,2014-01-01
2016,"Santa Catarina","Novembro",156,2016-01-01
2002,"Paraiba","Junho",1,2002-01-01
2017,"Rio","Mar�o",10,2017-01-01
2001,"Par�","Fevereiro",16,2001-01-01
2012,"Amazonas","Julho",234,2012-01-01
2012,"Espirito Santo","Agosto",12,2012-01-01
2003,"Santa Catarina","Julho",43,2003-01-01
2012,"Rio","Novembro",69,2012-01-01
2012,"Amapa","Dezembro",422,2012-01-01
2009,"Sao Paulo","Dezembro",37,2009-01-01
2011,"Par�","Maio",16,2011-01-01
2001,"Sao Paulo","Setembro",425,2001-01-01
2003,"Acre","Janeiro",10,2003-01-01
2007,"Mato Grosso","Outubro",668,2007-01-01
2007,"Santa Catarina","Outubro",35,2007-01-01
2011,"Rio","Abril",0,2011-01-01
2012,"Santa Catarina","Setembro",188,2012-01-01
2013,"Paraiba","Novembro",95,2013-01-01
1999,"Pernambuco","Abril",2,1999-01-01
2007,"Roraima","Janeiro",194,2007-01-01
2013,"Amapa","Dezembro",148,2013-01-01
2003,"Acre","Setembro",3.942,2003-01-01
2008,"Bahia","Fevereiro",235,2008-01-01
2001,"Ceara","Agosto",219,2001-01-01
1998,"Mato Grosso","Julho",3.712,1998-01-01
2003,"Mato Grosso","Maio",74,2003-01-01
2014,"Amapa","Junho",0,2014-01-01
2001,"Espirito Santo","Abril",2,2001-01-01
2006,"Pernambuco","Maio",1,2006-01-01
2016,"Par�","Mar�o",81,2016-01-01
2004,"Mato Grosso","Abril",97,2004-01-01
2014,"Roraima","Agosto",12,2014-01-01
2013,"Paraiba","Mar�o",18,2013-01-01
2005,"Pernambuco","Janeiro",221,2005-01-01
2005,"Piau","Maio",22,2005-01-01
2005,"Sao Paulo","Maio",212,2005-01-01
2000,"Piau","Mar�o",14,2000-01-01
2017,"Tocantins","Abril",164,2017-01-01
2003,"Mato Grosso","Maio",942,2003-01-01
2005,"Minas Gerais","Novembro",422,2005-01-01
2001,"Amazonas","Setembro",166,2001-01-01
2001,"Minas Gerais","Dezembro",44,2001-01-01
2007,"Minas Gerais","Abril",35,2007-01-01
2010,"Espirito Santo","Fevereiro",15,2010-01-01
2000,"Bahia","Dezembro",24,2000-01-01
1999,"Mato Grosso","Julho",1.297,1999-01-01
1998,"Bahia","Junho",55,1998-01-01
2012,"Paraiba","Setembro",459,2012-01-01
2004,"Sao Paulo","Mar�o",73,2004-01-01
1998,"Goias","Abril",0,1998-01-01
2001,"Par�","Janeiro",34,2001-01-01
2015,"Sergipe","Julho",0,2015-01-01
2005,"Amapa","Mar�o",0,2005-01-01
2012,"Tocantins","Junho",922,2012-01-01
2016,"Alagoas","Julho",3,2016-01-01
2011,"Santa Catarina","Mar�o",8,2011-01-01
2010,"Mato Grosso","Abril",769,2010-01-01
2012,"Minas Gerais","Agosto",901,2012-01-01
1999,"Amapa","Agosto",0,1999-01-01
2007,"Rio","Mar�o",7,2007-01-01
2014,"Ceara","Fevereiro",18,2014-01-01
2003,"Amazonas","Julho",180,2003-01-01
